model_name,max_length,dropout,hidden_dims,batch_size,epochs,lr_encoder,lr_head,weight_decay,warmup_ratio,test_mae,test_r2,test_smape,time_seconds
distilbert-base-uncased,160,0.2,"[768, 384]",32,5,5e-05,0.001,0.01,0.1,11.336686134338379,0.3978634476661682,52.19417214393616,151.55139
distilbert-base-uncased,160,0.2,"[768, 384]",32,5,5e-05,0.002,0.01,0.1,11.402107238769531,0.3926650285720825,52.430957555770874,152.009882
distilbert-base-uncased,160,0.2,"[512, 256]",32,5,5e-05,0.002,0.01,0.1,11.417696952819824,0.3964979648590088,52.52230167388916,154.856101
distilbert-base-uncased,160,0.2,"[768, 384]",32,5,3e-05,0.002,0.01,0.1,11.460926055908203,0.38656705617904663,52.589207887649536,151.7244
distilbert-base-uncased,160,0.2,"[512, 256]",32,5,3e-05,0.002,0.01,0.1,11.513216018676758,0.39868438243865967,52.39114761352539,151.568581
distilbert-base-uncased,160,0.3,"[768, 384]",32,5,3e-05,0.002,0.01,0.1,11.521439552307129,0.38040924072265625,53.036242723464966,152.38263
distilbert-base-uncased,160,0.3,"[512, 256]",32,5,3e-05,0.001,0.01,0.1,11.532535552978516,0.39673250913619995,52.4671196937561,152.308715
distilbert-base-uncased,160,0.2,"[512, 256]",32,5,5e-05,0.001,0.01,0.1,11.595574378967285,0.3954929709434509,52.93753743171692,150.997708
distilbert-base-uncased,160,0.2,"[768, 384]",32,5,2e-05,0.002,0.01,0.1,11.612895965576172,0.37995320558547974,53.33495736122131,153.350008
distilbert-base-uncased,160,0.2,"[512, 256]",32,5,3e-05,0.001,0.01,0.1,11.624655723571777,0.39824551343917847,53.24457883834839,151.462071
distilbert-base-uncased,160,0.3,"[512, 256]",32,5,5e-05,0.001,0.01,0.1,11.630496978759766,0.38955187797546387,53.239452838897705,151.752715
distilbert-base-uncased,160,0.3,"[768, 384]",32,5,5e-05,0.002,0.01,0.1,11.636795043945312,0.4059337377548218,52.96042561531067,151.5975
distilbert-base-uncased,160,0.3,"[512, 256]",32,5,5e-05,0.002,0.01,0.1,11.666341781616211,0.3987249732017517,52.81156897544861,152.131275
distilbert-base-uncased,160,0.3,"[512, 256]",32,5,2e-05,0.002,0.01,0.1,11.692093849182129,0.3787198066711426,53.4898579120636,152.210137
distilbert-base-uncased,160,0.3,"[512, 256]",32,5,3e-05,0.002,0.01,0.1,11.697352409362793,0.3915007710456848,53.202736377716064,152.261449
distilbert-base-uncased,160,0.3,"[768, 384]",32,5,3e-05,0.001,0.01,0.1,11.712922096252441,0.3780953884124756,52.958887815475464,152.175268
distilbert-base-uncased,160,0.2,"[768, 384]",32,5,3e-05,0.001,0.01,0.1,11.731472969055176,0.3805076479911804,53.024399280548096,153.59226
distilbert-base-uncased,160,0.3,"[512, 256]",32,5,2e-05,0.001,0.01,0.1,11.742180824279785,0.3815228343009949,53.19113731384277,151.350193
distilbert-base-uncased,160,0.2,"[768, 384]",32,5,2e-05,0.001,0.01,0.1,11.748053550720215,0.3727681040763855,53.26132774353027,153.619241
distilbert-base-uncased,160,0.3,"[768, 384]",32,5,5e-05,0.001,0.01,0.1,11.7981595993042,0.3851417899131775,52.936047315597534,151.662226
distilbert-base-uncased,160,0.2,"[512, 256]",32,5,2e-05,0.001,0.01,0.1,11.838476181030273,0.38130253553390503,53.66587042808533,156.101072
distilbert-base-uncased,160,0.2,"[512, 256]",32,5,2e-05,0.002,0.01,0.1,11.85501766204834,0.37114208936691284,53.98151874542236,151.593891
distilbert-base-uncased,160,0.3,"[768, 384]",32,5,2e-05,0.002,0.01,0.1,11.939393043518066,0.34706705808639526,54.217857122421265,151.169318
distilbert-base-uncased,160,0.3,"[768, 384]",32,5,2e-05,0.001,0.01,0.1,11.940375328063965,0.3614620566368103,53.48793864250183,152.127337
